5,1,34
5,2,948
5,3,191
5,4,53
5,5,44
5,6,29.5
5,7,68
5,8,277.184
5,9,143.735
5,10,112
5,11,156.22
5,12,275.9
5,13,281.52
5,14,390
5,15,29.5
5,16,3622.64
5,17,22
5,18,174
5,19,29.5
5,20,22
5,21,534
5,22,22
5,23,97
5,24,390
5,25,71
5,26,29.5
5,27,59
5,28,135.45
5,29,132
5,30,261.615
5,31,947.38
5,32,112
5,33,102
5,34,176
5,35,101.5
5,36,6265
5,37,140.17
5,38,53
5,39,44
5,40,93.32
5,41,142
5,42,146
5,43,2186.02
5,44,1597.99
5,45,1772.69
5,46,68
5,47,430
5,48,88
5,49,318
5,50,307.5
5,51,79.5
5,52,390
5,53,87
5,54,34.435
5,55,267.22
5,56,531.3
5,57,352
5,58,196.675
5,59,257.5
5,60,143.48
5,61,71
5,62,59
5,63,1079
5,64,29.5
5,65,186
5,66,204
5,67,68
5,68,123
5,69,220
5,70,98.5
5,71,132
5,72,44
5,73,643.16
5,74,2730
5,75,220
5,76,59
5,77,61
5,78,1059
5,79,101.5
5,80,260.8
5,81,292.75
5,82,145
5,83,112
5,84,74
5,85,199.8
5,86,390
5,87,88.5
5,88,50.35
5,89,701.146
5,90,44
5,91,749.14
5,92,390
5,93,24
5,94,26.75
5,95,580
5,96,41.25
5,97,29.5
5,98,1059
5,99,150.52
5,100,393.76
5,101,71
5,102,140.5
5,103,22
5,104,353.51
5,105,354.5
5,106,88
5,107,167
5,108,343.485
5,109,438
5,110,395.94
5,111,53
5,112,174
5,113,119.56
5,114,2622
5,115,4404.5
5,116,59
5,117,363.12
5,118,148
5,119,238.5
5,120,264
5,121,474
5,122,828.925
5,123,352
5,124,12452
5,125,34
5,126,474
5,127,132
5,128,102
5,129,106
5,130,44
5,131,396
5,132,88
5,133,44
5,134,1050.6
5,135,44
5,136,695.8
5,137,280.84
5,138,142
5,139,83.5
5,140,138.69
5,141,220
5,142,395.365
5,143,338.625
5,144,785
5,145,980.405
5,146,17
5,147,660
5,148,308
5,149,325.29
5,150,340
5,151,1100
5,152,108.07
5,153,181
5,154,34
5,155,948
5,156,569.48
6,157,205.5
6,158,121
6,159,785
6,160,24.51
6,161,440
6,162,340.775
6,163,88
6,164,159
6,165,22
6,166,215
6,167,308
6,168,537.6
6,169,544
6,170,739.675
6,171,53.5
6,172,14.75
6,173,812
6,174,710
6,175,916.12
6,176,238.5
6,177,390
6,178,29
6,179,424.78
6,180,2173.845
6,181,79.5
6,182,935.625
6,183,198
6,184,219.99
6,185,160.245
6,186,55.64
6,187,916.575
6,188,159
6,189,50.5
6,190,44
6,191,108
6,192,32.25
6,193,754.75
6,194,1175.5
6,195,128.52
6,196,709.1
6,197,80.25
6,198,1383
6,199,22
6,200,39.605
6,201,22
6,202,242.06
6,203,22
6,204,733.85
6,205,1025.12
6,206,88
6,207,772.86
6,208,928
6,209,309
6,210,122
6,211,852.825
6,212,100.59
6,213,700.85
6,214,114.5
6,215,44
6,216,29.5
6,217,37.45
6,218,359.91
6,219,1540
6,220,1241.9
6,221,240.5
6,222,170
6,223,190
6,224,390
6,225,6259
6,226,44
6,227,876
6,228,50
6,229,222
6,230,132
6,231,1040.35
6,232,72
6,233,48.25
6,234,129.46
6,235,171.5
6,236,479.5
6,237,29.5
6,238,120.17
6,239,59
6,240,67
6,241,30.45
6,242,1704.65
6,243,29.5
6,244,22
6,245,138.805
6,246,12.685
6,247,63
6,248,117.315
6,249,86.0875
